,permalink,name,homepage_url,category_list, market , funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at
29002,/organization/appstack,NewHound,http://www.newhound.com,|Mobile|, Mobile ," 1,500,000 ",operating,USA,CA,"Orange County, California",San Juan Capistrano,2.0,2011-07-01,2011-07,2011-Q3,2011.0,2012-03-28,2013-06-01
3506,/organization/assurely,Assurely,,,, -   ,operating,,,,,1.0,,,,,2013-08-01,2013-08-01
51303,,,,,,,,,,,,,,,,,,
27129,/organization/mobileroi,MobileROI,http://www.MobileROI.com,|Predictive Analytics|Cloud Data Services|Marketing Automation|Mobile Commerce|, Mobile Commerce ," 6,000,000 ",operating,USA,NY,New York City,New York,2.0,2013-01-01,2013-01,2013-Q1,2013.0,2010-05-01,2011-02-25
50033,,,,,,,,,,,,,,,,,,
45239,/organization/urbndesignz,UrbnDesignz,,|Designers|, Designers , -   ,operating,USA,NY,Long Island,Bay Shore,1.0,2012-08-20,2012-08,2012-Q3,2012.0,2013-11-10,2013-11-10
14348,/organization/evostream,Evostream,https://evostream.com/,,," 500,000 ",operating,USA,CA,San Diego,San Diego,1.0,2010-01-01,2010-01,2010-Q1,2010.0,2014-10-30,2014-10-30
33405,/organization/preventes-fr,Preventes.fr,http://www.preventes.fr,|Ticketing|E-Commerce|, Ticketing ," 100,000 ",closed,GBR,,Marlborough,Marlborough,1.0,2007-10-01,2007-10,2007-Q4,2007.0,2007-07-14,2007-07-14
6957,/organization/calypso-wireless,Calypso Wireless,http://calypsowireless.us,|Mobile|, Mobile ," 87,000 ",operating,USA,TX,Houston,Houston,1.0,,,,,2011-10-06,2011-10-06
39702,/organization/sotmarket,Sotmarket,http://www.sotmarket.ru/,|Online Shopping|, Online Shopping ," 50,000,000 ",,RUS,,Moscow,Moscow,1.0,2005-05-05,2005-05,2005-Q2,2005.0,2012-08-14,2012-08-14
37584,/organization/sensible-solutions-sweden,Sensible Solutions Sweden,http://www.sensiblesolutions.se,|Hardware + Software|, Hardware + Software ," 427,000 ",operating,SWE,,Sundsvall,Sundsvall,1.0,,,,,2007-01-19,2007-01-19
52821,,,,,,,,,,,,,,,,,,
10256,/organization/creativit-studiios,Creativit Studios,http://www.creativitstudios.com,|Advertising|Film|Journalism|Graphics|Design|, Design ," 1,500,000 ",operating,USA,NY,New York City,New York,1.0,2012-12-29,2012-12,2012-Q4,2012.0,2013-01-21,2013-01-21
1941,/organization/allegory-law,Allegory Law,http://allegorylaw.com,|Legal|, Legal ," 550,000 ",operating,USA,NY,New York City,New York,1.0,2011-01-01,2011-01,2011-Q1,2011.0,2013-03-27,2013-03-27
18028,/organization/groopt,Groopt,http://www.groopt.com,|Big Data|Cloud Computing|Software|, Software ," 150,000 ",operating,USA,CA,SF Bay Area,San Francisco,1.0,2010-03-17,2010-03,2010-Q1,2010.0,2013-11-19,2013-11-19
30761,/organization/orbeus,Orbeus,http://orbe.us,|Startups|Enterprise Software|, Startups ," 1,466,387 ",operating,USA,CA,SF Bay Area,Mountain View,1.0,2012-05-24,2012-05,2012-Q2,2012.0,2014-05-20,2014-05-20
33522,/organization/pristones,Pristones,http://www.pristones.com,|Mobile|Recruiting|Social Media|Startups|, Startups ," 136,779 ",operating,KOR,,Seoul,Seoul,2.0,2010-12-24,2010-12,2010-Q4,2010.0,2012-04-01,2012-08-01
50561,,,,,,,,,,,,,,,,,,
35751,/organization/likebright,Reveal,http://www.revealchat.com,|Chat|Private Social Networking|Social Media|, Chat ," 1,000,000 ",operating,USA,WA,Seattle,Seattle,2.0,2014-09-01,2014-09,2014-Q3,2014.0,2013-01-16,2013-12-20
26145,/organization/mekiwi-ltd,Mekiwi Ltd,http://www.wimble.me/,,, -   ,operating,FIN,,Oulu,Oulu,1.0,2014-02-18,2014-02,2014-Q1,2014.0,2014-11-01,2014-11-01
6565,/organization/bueno-inc,Bueno Inc,http://www.bueno.com,|Hospitality|, Hospitality ," 275,000 ",operating,USA,FL,Miami,Miami,1.0,2008-01-09,2008-01,2008-Q1,2008.0,2008-01-01,2008-01-01
12776,/organization/echograph,Echograph,http://echograph.com,|Photography|Video|Software|, Photography ," 250,000 ",acquired,USA,CA,Los Angeles,El Segundo,1.0,2012-10-01,2012-10,2012-Q4,2012.0,2012-01-01,2012-01-01
15324,/organization/first-solar,First Solar,http://www.firstsolar.com,|Semiconductors|Clean Technology|, Semiconductors ," 427,700,000 ",operating,USA,AZ,Phoenix,Tempe,1.0,1999-01-01,1999-01,1999-Q1,1999.0,2013-06-18,2013-06-18
14381,/organization/exacttarget,ExactTarget,http://www.exacttarget.com,|Marketing Automation|Email Marketing|Software|, Marketing Automation ," 188,210,000 ",acquired,USA,IN,Indianapolis,Indianapolis,5.0,2000-12-01,2000-12,2000-Q4,2000.0,2004-07-21,2011-04-25
6756,/organization/buzzoo,Buzzoo,http://buzzoo.fm,|Business Services|Social Media|Music|Software|, Social Media , -   ,operating,FRA,,Picardie,Irles,1.0,2012-01-01,2012-01,2012-Q1,2012.0,2012-09-01,2012-09-01
1771,/organization/alamarka,AlaMarka,http://www.alamarka.com,|Lifestyle|E-Commerce|, E-Commerce ," 1,000,000 ",operating,,,,,1.0,2010-04-04,2010-04,2010-Q2,2010.0,2010-09-01,2010-09-01
6559,/organization/buddytv,BuddyTV,http://buddytv.com,|Television|Games|, Games ," 10,550,000 ",operating,USA,WA,Seattle,Seattle,4.0,2005-01-01,2005-01,2005-Q1,2005.0,2007-05-01,2013-12-04
7639,/organization/cega-innovations,CEGA Innovations,http://cegamuv.com,|Hardware + Software|, Hardware + Software ," 210,000 ",operating,USA,SD,Sioux Falls,Sioux Falls,1.0,2012-01-01,2012-01,2012-Q1,2012.0,2014-03-18,2014-03-18
41724,/organization/tadcast,Tadcast,http://www.tadcast.com,|Sales and Marketing|Advertising|, Sales and Marketing , -   ,closed,USA,NY,New York City,New York,1.0,2009-01-01,2009-01,2009-Q1,2009.0,2009-01-01,2009-01-01
6330,/organization/brevado,Brevado,http://www.Brevado.com,|Customer Service|Software|, Customer Service ," 50,000 ",operating,USA,NC,Raleigh,Durham,1.0,2013-09-01,2013-09,2013-Q3,2013.0,2013-08-28,2013-08-28
39200,/organization/snow-alps,Snow & Alps,http://snowbon.com,|Curated Web|, Curated Web ," 1,286,600 ",operating,DEU,,Munich,Munich,1.0,2012-09-01,2012-09,2012-Q3,2012.0,2014-01-07,2014-01-07
11211,/organization/death-by-party,Death by Party,http://deathbyparty.com/,|Fashion|, Fashion , -   ,operating,USA,PA,Philadelphia,Philadelphia,1.0,2013-01-25,2013-01,2013-Q1,2013.0,2014-04-15,2014-04-15
37178,/organization/sdi-solution,SDI-Solution,http://sdi-solution.ru,,," 130,000 ",,RUS,,Moscow,Moscow,1.0,,,,,2012-07-01,2012-07-01
37952,/organization/shenzhen-hasee-computer,Shenzhen Hasee computer,http://www.hasee.com/,|Mobile|, Mobile , -   ,operating,,,,,1.0,2001-01-01,2001-01,2001-Q1,2001.0,2011-09-01,2011-09-01
4006,/organization/avinci-media,aVinci Media,http://www.avincimedia.com,|Software|, Software ," 1,552,627 ",operating,USA,UT,Salt Lake City,Draper,2.0,2003-01-01,2003-01,2003-Q1,2003.0,2010-03-19,2010-04-01
28001,/organization/mydeco,mydeco,http://mydeco.com,|3D|Home & Garden|E-Commerce|Curated Web|, 3D ," 19,679,275 ",operating,GBR,,London,London,2.0,2007-02-01,2007-02,2007-Q1,2007.0,2007-01-01,2008-08-01
22151,/organization/jonny-iv,JONNY IV,http://www.jonnyiv.com,|Retail|Fashion|E-Commerce|, Retail , -   ,operating,USA,CA,Los Angeles,Los Angeles,1.0,2014-01-01,2014-01,2014-Q1,2014.0,2014-01-01,2014-01-01
3770,/organization/au-nalytics,Aunalytics,http://www.aunalytics.com/index.html,|Analytics|, Analytics ," 820,000 ",operating,USA,IN,South Bend,South Bend,1.0,2011-01-01,2011-01,2011-Q1,2011.0,2011-01-01,2011-01-01
31428,/organization/paringenix,ParinGenix,,|Biotechnology|, Biotechnology ," 5,094,613 ",operating,USA,FL,Ft. Lauderdale,Weston,2.0,2002-01-01,2002-01,2002-Q1,2002.0,2010-08-04,2013-02-19
26647,/organization/milepoint,MilePoint,http://milepoint.com,|Forums|Social Media|Travel|, Forums ," 1,000,000 ",operating,USA,CO,Colorado Springs,Colorado Springs,1.0,2011-02-01,2011-02,2011-Q1,2011.0,2011-02-01,2011-02-01
13304,/organization/embedded-internet-solutions,Embedded Internet Solutions,http://www.embisoft.com,|Software|, Software ," 36,640,000 ",closed,CHN,,Guangdong,Guangdong,1.0,,,,,2009-01-04,2009-01-04
48863,/organization/zany-ox,ZANY OX,http://www.zanyox.com.ng,|E-Commerce|, E-Commerce ," 200,000 ",operating,,,,,1.0,2013-05-01,2013-05,2013-Q2,2013.0,2013-06-05,2013-06-05
37233,/organization/seastar-games,Seastar Games,http://www.seastar-games.com/index.htm,|Games|, Games , -   ,operating,CHN,,CHN - Other,,1.0,,,,,2012-02-01,2012-02-01
2692,/organization/apifix,ApiFix,http://apifix.com,|Medical Devices|Biotechnology|, Medical Devices , -   ,operating,ISR,,Tel Aviv,Misgav Dov,1.0,2011-01-01,2011-01,2011-Q1,2011.0,2013-10-22,2013-10-22
38078,/organization/shopear,Shopear,http://www.shopear.com,|Discounts|Brand Marketing|Fashion|Social Buying|Mobile|, Brand Marketing ," 122,408 ",operating,ARG,,ARG - Other,Palermo,3.0,2012-05-01,2012-05,2012-Q2,2012.0,2011-10-01,2012-08-01
37513,/organization/send-the-trend,Send the Trend,http://www.sendthetrend.com,|Jewelry|Fashion|E-Commerce|, E-Commerce ," 3,000,000 ",acquired,USA,NY,New York City,New York,1.0,2010-08-01,2010-08,2010-Q3,2010.0,2011-05-02,2011-05-02
7267,/organization/cardley,Cardley,http://cardley.com/,|Financial Services|, Financial Services ," 475,000 ",operating,USA,IL,Chicago,Chicago,1.0,2012-10-01,2012-10,2012-Q4,2012.0,2013-07-15,2013-07-15
30832,/organization/orgoo,Orgoo,http://www.orgoo.com,|Email|Curated Web|, Email , -   ,operating,USA,CA,Los Angeles,Los Angeles,1.0,2005-11-01,2005-11,2005-Q4,2005.0,2007-01-01,2007-01-01
25275,/organization/makexyz,makexyz,http://www.makexyz.com,|Peer-to-Peer|Marketplaces|Manufacturing|Curated Web|, Manufacturing , -   ,operating,,,,,1.0,2013-01-06,2013-01,2013-Q1,2013.0,2014-02-11,2014-02-11
11990,/organization/docasap,DocASAP,http://www.docasap.com,|Curated Web|, Curated Web , -   ,operating,USA,NY,New York City,New York,1.0,2012-01-01,2012-01,2012-Q1,2012.0,2013-04-07,2013-04-07
20787,/organization/inrfood,INRFOOD,http://www.inrfood.com,|Diabetes|Medical|Nutrition|Health and Wellness|Mobile|Curated Web|, Diabetes ," 30,000 ",operating,USA,NC,Raleigh,Durham,1.0,2011-11-05,2011-11,2011-Q4,2011.0,2014-08-28,2014-08-28
20425,/organization/industry-weapon,Industry Weapon,http://www.industryweapon.com,,, -   ,operating,USA,PA,Pittsburgh,Pittsburgh,2.0,,,,,2009-02-25,2010-06-04
12548,/organization/e-e-capital-management,E & E Capital Management,http://www.eecapitalmanagement.com/,|Real Estate|, Real Estate ," 4,000,000 ",operating,USA,GA,Atlanta,Atlanta,1.0,,,,,2012-06-01,2012-06-01
3945,/organization/avaxia-biologics,Avaxia Biologics,http://www.avaxiabiologics.com,|Biotechnology|, Biotechnology ," 26,512,137 ",operating,USA,MA,Boston,Lexington,11.0,2005-01-01,2005-01,2005-Q1,2005.0,2011-06-01,2014-05-06
15850,/organization/for-your-imagination,For Your Imagination,http://www.foryourimagination.com,|Entertainment|Sales and Marketing|Internet Marketing|Video|Games|, Internet Marketing ," 1,300,000 ",closed,USA,NY,New York City,New York,1.0,2007-01-15,2007-01,2007-Q1,2007.0,2008-10-15,2008-10-15
33784,/organization/property-pointe,Property Pointe,http://propertypointe.com,|Real Estate|, Real Estate ," 200,000 ",operating,USA,CA,Ontario - Inland Empire,Temecula,1.0,2013-06-15,2013-06,2013-Q2,2013.0,2013-06-15,2013-06-15
49869,,,,,,,,,,,,,,,,,,
45987,/organization/victor,Victor,http://www.flyvictor.com,|Online Reservations|Price Comparison|Customer Service|Travel & Tourism|Resorts|, Resorts ," 18,992,723 ",operating,GBR,,London,London,3.0,2010-01-01,2010-01,2010-Q1,2010.0,2012-04-12,2014-01-21
20747,/organization/innovital-systems,InnoVital Systems,http://innovitalsystems.com,|Software|, Software ," 25,000 ",operating,USA,MD,"Washington, D.C.",Beltsville,1.0,2013-01-01,2013-01,2013-Q1,2013.0,2013-07-11,2013-07-11
42613,/organization/the-bar-method,The Bar Method,http://www.barmethod.com,|Health and Wellness|, Health and Wellness , -   ,operating,USA,CA,SF Bay Area,San Francisco,1.0,2000-01-01,2000-01,2000-Q1,2000.0,2012-08-27,2012-08-27
7124,/organization/capital-new-york,Capital New York,http://www.capitalnewyork.com,|News|, News ," 1,700,000 ",operating,USA,NY,New York City,New York,1.0,,,,,2011-08-18,2011-08-18
35821,/organization/revolve-robotics,Revolve Robotics,http://www.revolverobotics.com,|Mobile|Video Chat|Video Conferencing|Consumer Electronics|Tablets|Robotics|Hardware + Software|, Hardware + Software ," 615,000 ",operating,USA,CA,SF Bay Area,San Francisco,3.0,2012-03-01,2012-03,2012-Q1,2012.0,2012-09-15,2014-05-19
47361,/organization/westbridge-2,WestBridge,http://www.livewestbridge.com,,," 13,000 ",operating,,,,,1.0,2013-06-10,2013-06,2013-Q2,2013.0,2013-08-04,2013-08-04
6334,/organization/briabe-mobile,Briabe Mobile,http://briabemobile.com,|SMS|Advertising|App Marketing|Mobile|, Mobile ," 2,000,000 ",operating,USA,CA,Los Angeles,Venice,1.0,2005-01-01,2005-01,2005-Q1,2005.0,2011-04-19,2011-04-19
21233,/organization/intraop,IntraOp Medical,http://www.intraopmedical.com,|Health Care|, Health Care ," 7,200,000 ",operating,USA,CA,SF Bay Area,Sunnyvale,3.0,,,,,2007-01-01,2009-07-20
47726,/organization/wisair,Wisair,http://www.wisair.com,|Semiconductors|, Semiconductors ," 55,833,663 ",closed,ISR,,Tel Aviv,Tel Aviv,5.0,2001-01-01,2001-01,2001-Q1,2001.0,2006-01-24,2011-08-09
22301,/organization/justfamily,JustFamily,http://justfamily.com,|Mobile|, Mobile ," 4,795,661 ",operating,USA,FL,Florida's Space Coast,Satellite Beach,3.0,,,,,2012-09-06,2014-10-09
17900,/organization/greengro-technologies,Greengro Technologies,http://greengrotech.com,|Clean Technology|, Clean Technology ," 875,000 ",,USA,CA,Anaheim,Anaheim,1.0,1996-01-01,1996-01,1996-Q1,1996.0,2014-03-20,2014-03-20
14287,/organization/b-everyware,EVERYWARE,http://www.EVERYWARE.com,|Small and Medium Businesses|SaaS|Mobile|Software|, Software ," 1,000,000 ",operating,,,,,1.0,2013-12-01,2013-12,2013-Q4,2013.0,2014-06-01,2014-06-01
15522,/organization/flexiant,Flexiant,http://www.flexiant.com,|Enterprise Software|, Enterprise Software ," 10,497,161 ",acquired,GBR,,London,London,2.0,2009-12-09,2009-12,2009-Q4,2009.0,2012-11-23,2013-04-07
52512,,,,,,,,,,,,,,,,,,
19360,/organization/hotpotato-media,HOTPOTATO MEDIA,,,," 1,423,395 ",operating,USA,NY,New York City,Brooklyn,1.0,,,,,2009-11-10,2009-11-10
38857,/organization/sleep-solutions,Sleep Solutions,http://www.sleepsolutions.com,|Health Care|, Health Care ," 20,000,000 ",closed,USA,MD,Baltimore,Glen Burnie,1.0,,,,,2009-10-30,2009-10-30
22625,/organization/kensho-technologies,Kensho,http://www.kensho.com,|Software|, Software ," 25,495,000 ",operating,USA,MA,Boston,Cambridge,3.0,2013-05-01,2013-05,2013-Q2,2013.0,2014-01-22,2014-11-24
53808,,,,,,,,,,,,,,,,,,
33709,/organization/prolink-solutions,ProLink Solutions,http://www.prolinksolutions.com/,|Software|, Software ," 100,000 ",operating,USA,CO,Denver,Englewood,1.0,1998-01-01,1998-01,1998-Q1,1998.0,2014-07-14,2014-07-14
31169,/organization/packet-design,Packet Design,http://www.packetdesign.com,|Software|, Software ," 16,797,295 ",operating,USA,CA,SF Bay Area,Santa Clara,5.0,2003-01-01,2003-01,2003-Q1,2003.0,2011-07-21,2013-03-19
10528,/organization/csidentity,CSID,http://www.csid.com,|Social Network Media|Twitter Applications|Facebook Applications|Enterprise Software|, Enterprise Software ," 42,130,000 ",operating,USA,TX,Austin,Austin,3.0,2006-01-01,2006-01,2006-Q1,2006.0,2006-10-10,2011-04-13
11640,/organization/digestive-disease-associates,Digestive Disease Associates,http://ddaberks.com,|Biotechnology|, Biotechnology ," 1,132,416 ",operating,USA,PA,Philadelphia,Reading,1.0,1972-01-01,1972-01,1972-Q1,1972.0,2009-09-23,2009-09-23
15974,/organization/found-3,Foundshopping.com,http://foundshopping.com,|Shopping|Mobile|, Mobile ," 80,000 ",closed,ZAF,,Cape Town,Cape Town,2.0,2012-03-01,2012-03,2012-Q1,2012.0,2012-03-01,2012-10-30
39932,/organization/specialty-soybean-farms-inc,Specialty Soybean Farms,,|Food Processing|Hospitality|, Hospitality , -   ,operating,USA,AR,Fayetteville,Fayetteville,1.0,2011-01-01,2011-01,2011-Q1,2011.0,2011-05-06,2011-05-06
7666,/organization/cell-guidance-systems,Cell Guidance Systems,http://www.cellgs.com,|Biotechnology|, Biotechnology ," 367,903 ",operating,GBR,,London,Cambridge,1.0,2010-01-01,2010-01,2010-Q1,2010.0,2013-10-30,2013-10-30
32120,/organization/philadelphia-school-partnership,Philadelphia School Partnership,http://philaschoolpartnership.org,|Nonprofits|, Nonprofits ," 5,000,000 ",operating,USA,PA,Philadelphia,Philadelphia,1.0,2010-01-01,2010-01,2010-Q1,2010.0,2013-09-18,2013-09-18
42431,/organization/tepha,Tepha,http://www.tepha.com,|Health Care|, Health Care ," 29,942,849 ",operating,USA,MA,Boston,Lexington,4.0,1998-01-01,1998-01,1998-Q1,1998.0,2007-06-06,2012-03-16
7708,/organization/cellspin,CellSpin,http://www.cellspin.net,|Cloud Data Services|Blogging Platforms|E-Commerce|Video Streaming|Social Network Media|Facebook Applications|Photography|Audio|Video|Networking|Mobile|Advertising|, Photography ," 2,000,000 ",operating,USA,CA,SF Bay Area,San Jose,1.0,2006-04-03,2006-04,2006-Q2,2006.0,2006-12-01,2006-12-01
29248,/organization/nightowl,NightOwl,http://www.nightowl.com,|Travel|Apps|Guide to Nightlife|, Apps , -   ,operating,USA,NY,New York City,New York,1.0,2011-07-13,2011-07,2011-Q3,2011.0,2013-10-10,2013-10-10
42644,/organization/the-catch-group,The Catch Group,http://www.catchoftheday.com.au,|Online Shopping|Group Buying|E-Commerce|, Group Buying ," 80,000,000 ",operating,AUS,,Mulgrave,Mulgrave,1.0,2006-10-01,2006-10,2006-Q4,2006.0,2011-05-23,2011-05-23
8607,/organization/clear-story,Clear Story Systems,http://www.clearstorysystems.com,|Software|, Software ," 1,100,000 ",acquired,USA,NY,New York City,New York,1.0,,,,,2005-01-28,2005-01-28
13790,/organization/envivio,Envivio,http://www.envivio.com,|Technology|Software|, Technology ," 42,500,000 ",operating,USA,CA,SF Bay Area,San Francisco,4.0,2000-01-01,2000-01,2000-Q1,2000.0,2008-09-01,2012-01-01
51939,,,,,,,,,,,,,,,,,,
46502,/organization/vivogig,Vivogig,http://www.vivogig.com,|Sponsorship|Media|Content|Crowdsourcing|Social Media|Events|Music|Photography|Mobile|, Sponsorship ," 400,000 ",operating,USA,TX,Austin,Austin,2.0,2011-01-01,2011-01,2011-Q1,2011.0,2012-05-01,2013-10-15
15781,/organization/fonestarz-media,FoneStarz Media,http://www.fonestarz.com,|Mobile|, Mobile ," 6,975,497 ",acquired,GBR,,Cambridgeshire,,1.0,,,,,2006-04-10,2006-04-10
17119,/organization/ginio,Ginio.com,http://www.ginio.com,|Colleges|Education|Universities|Search|, Search ," 600,000 ",operating,USA,FL,Miami,Miami,1.0,2012-04-01,2012-04,2012-Q2,2012.0,2007-01-01,2007-01-01
5904,/organization/boke-information-co-ltd,Boke,http://www.bokesoft.com,|Enterprise Software|, Enterprise Software , -   ,operating,CHN,,CHN - Other,,1.0,,,,,2011-03-01,2011-03-01
11879,/organization/displaynote-technologies,DisplayNote Technologies,http://displaynote.com/,|Software|, Software ," 1,594,194 ",operating,GBR,,Belfast,Belfast,1.0,2012-01-01,2012-01,2012-Q1,2012.0,2014-10-20,2014-10-20
41599,/organization/syntaxin,Syntaxin,http://www.syntaxin.com,|Biotechnology|, Biotechnology ," 71,390,000 ",acquired,GBR,,London,Abingdon,3.0,,,,,2005-11-14,2010-11-11
15710,/organization/flyezee-com,Flyezee.com,http://flyezee.com,|E-Commerce|, E-Commerce ," 180,000 ",operating,TZA,,TZA - Other,,1.0,,,,,2014-06-17,2014-06-17
20282,/organization/inadco,Inadco,http://www.inadco.com,|Advertising|, Advertising ," 17,000,000 ",operating,USA,CA,SF Bay Area,Palo Alto,3.0,2008-04-01,2008-04,2008-Q2,2008.0,2009-01-01,2013-06-26
31622,/organization/paydivvy,PayDivvy,http://www.paydivvy.com,|Social Media|, Social Media ," 1,310,000 ",acquired,USA,CA,Anaheim,Irvine,3.0,2009-03-06,2009-03,2009-Q1,2009.0,2009-01-15,2012-04-27
12856,/organization/ecosmart-technologies,EcoSMART Technologies,http://www.ecosmart.com,|Clean Technology|, Clean Technology ," 15,021,489 ",operating,USA,GA,Atlanta,Alpharetta,4.0,1996-01-01,1996-01,1996-Q1,1996.0,2008-06-10,2013-02-01
6700,/organization/button-brew-house,Button Brew House,http://www.buttonbrew.com/,|Craft Beer|Brewing|Startups|, Startups , -   ,operating,USA,AZ,Tucson,Tucson,1.0,2013-12-18,2013-12,2013-Q4,2013.0,2014-02-27,2014-02-27
31952,/organization/perlegen-sciences,Perlegen Sciences,,|Biotechnology|, Biotechnology ," 74,000,000 ",operating,USA,CA,SF Bay Area,Mountain View,1.0,2000-01-01,2000-01,2000-Q1,2000.0,2005-02-28,2005-02-28
9599,/organization/confer,Confer,http://www.getconfer.com,|Enterprise Software|, Enterprise Software ," 400,000 ",operating,USA,OH,Akron - Canton,Wooster,2.0,2009-06-01,2009-06,2009-Q2,2009.0,2009-06-01,2010-06-01
16646,/organization/gearbox,GearBox,http://gearbox.co.ke/index.php,|Consulting|, Consulting ," 90,000 ",operating,,,,,1.0,2010-02-01,2010-02,2010-Q1,2010.0,2014-06-24,2014-06-24
29338,/organization/nkf-pharma,nkf-pharma,http://www.nkf-pharma.com,|Medical|Health Care|, Health Care , -   ,operating,CHN,,Nanjing,Nanjing,1.0,2005-03-01,2005-03,2005-Q1,2005.0,2011-04-01,2011-04-01
23602,/organization/lead-therapeutics,LEAD Therapeutics,http://www.leadtherapeutics.com,|Biotechnology|, Biotechnology ," 20,000,000 ",closed,USA,CA,SF Bay Area,San Bruno,2.0,,,,,2007-11-05,2009-06-03
53939,,,,,,,,,,,,,,,,,,
11615,/organization/dicerna-pharmaceuticals,Dicerna Pharmaceuticals,http://www.dicerna.com,|Health Care|Biotechnology|, Health Care ," 217,050,628 ",operating,USA,MA,Boston,Watertown,4.0,2007-01-01,2007-01,2007-Q1,2007.0,2010-01-04,2013-07-31
13145,/organization/elasticsearch,Elasticsearch,http://www.elasticsearch.com,|Cloud Computing|Real Time|Open Source|Search|, Search ," 104,000,000 ",operating,USA,CA,SF Bay Area,Los Altos,3.0,2012-02-01,2012-02,2012-Q1,2012.0,2012-11-08,2014-06-05
29655,/organization/npario,nPario,http://npario.com,|Analytics|, Analytics ," 5,000,000 ",operating,USA,NY,New York City,New York,1.0,2010-01-01,2010-01,2010-Q1,2010.0,2011-05-06,2011-05-06
1264,/organization/advanced-system-designs,Advanced System Designs,,|Software|, Software ," 1,325,000 ",operating,USA,IL,Chicago,Morton Grove,2.0,1985-01-01,1985-01,1985-Q1,1985.0,2009-06-09,2010-08-17
35714,/organization/retickr,retickr,http://www.retickr.com,|Social Media|News|Curated Web|, Social Media ," 1,550,000 ",closed,USA,TN,Chattanooga,Chattanooga,2.0,2011-03-01,2011-03,2011-Q1,2011.0,2011-04-01,2012-02-23
51811,,,,,,,,,,,,,,,,,,
4864,/organization/best-money-decisions,Best Money Decisions,,|Venture Capital|Finance|, Finance ," 1,200,000 ",operating,USA,PA,Philadelphia,Chadds Ford,1.0,1995-12-01,1995-12,1995-Q4,1995.0,2014-04-24,2014-04-24
18250,/organization/gurubooks,Gurubooks,http://gurubooks.com,,," 100,000 ",operating,USA,IL,Carthage,Carthage,1.0,,,,,2000-06-28,2000-06-28
32827,/organization/pluss-polymers,Pluss Polymers,http://pluss.co.in,|Biotechnology|, Biotechnology ," 2,400,000 ",operating,IND,,Haryana,Haryana,1.0,1993-01-01,1993-01,1993-Q1,1993.0,2013-07-08,2013-07-08
28074,/organization/mymedleads-com,MyMedLeads.com,http://www.mymedleads.com,|Marketing Automation|Software|, Software ," 350,000 ",operating,USA,TX,Austin,Austin,1.0,2009-11-08,2009-11,2009-Q4,2009.0,2010-04-01,2010-04-01
26457,/organization/metropolitan-app,Metropolitan App,http://www.o.cn/,|Mobile|, Mobile , -   ,operating,,,,,1.0,2005-01-01,2005-01,2005-Q1,2005.0,2012-01-01,2012-01-01
22379,/organization/kaiam,Kaiam,http://www.kaiamcorp.com,|Semiconductors|, Semiconductors ," 72,002,285 ",operating,USA,CA,SF Bay Area,Newark,5.0,2009-01-01,2009-01,2009-Q1,2009.0,2011-03-01,2014-09-22
37614,/organization/sensorlogic,SensorLogic,http://www.sensorlogic.com,|Tracking|Gps|Mobile|M2M|Enterprise Software|, Tracking ," 19,501,799 ",acquired,USA,TX,Dallas,Addison,4.0,2002-01-01,2002-01,2002-Q1,2002.0,2007-06-19,2010-12-13
6214,/organization/brainsins,BrainSINS,http://www.brainsins.com/en,|SaaS|Reviews and Recommendations|Personalization|E-Commerce|Software|, Software ," 1,065,750 ",operating,ESP,,Madrid,Boadilla Del Monte,2.0,2010-06-01,2010-06,2010-Q2,2010.0,2010-05-01,2012-05-15
4573,/organization/beacon-holding,Beacon Holding,,,," 674,598,700 ",operating,USA,CA,Los Angeles,Los Angeles,1.0,,,,,2011-09-30,2011-09-30
3877,/organization/autoquake,Autoquake,http://www.autoquake.com,|Automotive|Retail|Insurance|Internet|Services|Cars|E-Commerce|, Services ," 53,615,099 ",operating,GBR,,London,London,7.0,2005-08-07,2005-08,2005-Q3,2005.0,2006-07-01,2010-03-09
31891,/organization/perception-software,Perception Software,http://www.perceptionsoftware.com,|Enterprise Search|Software|, Enterprise Search ," 37,500 ",operating,USA,TX,Austin,Austin,1.0,2005-12-01,2005-12,2005-Q4,2005.0,2009-12-23,2009-12-23
11955,/organization/dlyte-com,Dlyte.com,http://www.dlyte.com,|E-Commerce|, E-Commerce ," 155,000 ",operating,,,,,2.0,2011-04-01,2011-04,2011-Q2,2011.0,2011-11-15,2014-04-10
32769,/organization/pley,Pley,http://www.pley.com,|Curated Web|, Curated Web ," 6,750,000 ",operating,USA,CA,SF Bay Area,San Jose,1.0,2013-04-01,2013-04,2013-Q2,2013.0,2014-03-20,2014-03-20
33569,/organization/pro-v-v,Pro V&V,http://provandv.com,|Software|, Software ," 200,000 ",operating,USA,AL,Huntsville,Huntsville,1.0,,,,,2011-10-14,2011-10-14
11324,/organization/delight-2,Delight,http://www.delight.co.kr,|Manufacturing|, Manufacturing ," 15,454 ",operating,KOR,,Seoul,Seoul,1.0,2009-02-01,2009-02,2009-Q1,2009.0,2009-01-01,2009-01-01
